countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.56,3.43,1.52,12.38,14.58,5.84,4.77,2.61,3.88,3.29,0.01,1.76,4.84,1.87,3.3,1.93,3.36,0.71,0.37,0.08,0.05,,,,0.0
BURKINA FASO,,,,,0.0,,,,,,,,,,0.15,0.02,,,,,,0.02,,,,
GEORGIA,,,,,0.23,0.0,,,0.36,1.15,0.64,,,,0.43,0.38,,,,,,,,,,
IRAN,,,,,0.0,0.26,,,,4.81,12.44,,,0.07,,0.09,0.87,1.61,0.21,0.29,0.06,0.02,,,0.02,
LATVIA,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
MADAGASCAR,,,,,0.18,0.0,0.09,0.14,0.05,0.16,0.06,,0.16,,0.56,1.25,1.32,1.78,1.12,0.24,,1.47,0.44,,,
MALI,,,,,0.0,,,,,0.34,,,,,,,,0.03,,,0.02,,,,,
BRAZIL,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
MEXICO,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
PANAMA REPUBLIC,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
RUSSIA,,,,,0.0,,,,0.81,10.52,0.82,,0.02,0.04,,0.03,,,,,,,0.03,,0.07,
SPAIN,,,,,0.0,,,,,,,,,,,,0.75,1.12,0.04,,,,,,,
SURINAME,,,,,0.0,,,,,,,,0.0,,,0.41,,,,,,,,,,
SYRIA,,,,,0.62,,,,1.82,18.44,4.24,0.0,0.76,0.69,1.77,4.12,2.44,3.37,0.37,,,0.03,,,,
TUNISIA,,,,,0.01,,,,,,,,,,0.14,,,,,0.05,,,,,,
MOROCCO,,,,,,,,,0.3,0.25,0.69,,,0.18,0.65,4.44,2.29,3.38,1.11,0.48,0.59,0.24,,,,
ARGENTINA,,,,,,0.26,,,,,,,,,,,,,,,,,,,,
PAPUA N GNA,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,
DENMARK,,,,0.0,,,,0.0,,,,,,,,,,0.14,,,,,,,,
ETHIOPIA,,,0.01,0.0,0.04,0.01,,,,0.92,1.32,,0.07,,0.0,0.27,0.03,0.15,0.08,,,0.01,0.13,,0.0,
GABON,,,0.0,0.01,0.0,0.0,0.01,0.0,,,,,,,0.32,0.38,,0.1,,,,0.02,,,,
JAMAICA,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
KOREA RP,,,0.0,,,,,,0.08,0.14,,,0.07,,0.13,0.91,0.05,0.22,0.15,0.0,,1.09,,,,0.02
MAURITIUS,,,0.0,0.02,0.01,,,,0.15,0.37,0.08,0.02,0.22,0.19,0.48,,0.26,0.42,,0.0,0.03,0.07,,,,
MOZAMBIQUE,,,0.01,0.01,,0.11,0.02,0.0,0.15,0.56,0.03,,0.04,0.19,0.0,0.0,,0.01,,,0.0,,0.01,,,
NORWAY,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
PERU,,,,,,,,,,,0.04,0.04,,,,,,,,,,,,,,
SERBIA,,,,,,,,,,,,,,,,,,,,,,,,,,
SENEGAL,,,0.0,0.0,0.02,,,,,0.08,,,,,,,,0.07,,,0.02,0.03,,,,
SOMALIA,,,0.02,0.0,,0.0,,,,,,,0.06,,0.11,,,,,,,,,,,
TURKEY,,,,0.0,0.91,,,,,3.1,1.14,,,,0.15,0.73,0.16,1.2,0.48,0.0,0.45,,,,,
CONGO D. REP.,,,0.0,0.0,0.0,,,,,0.31,0.1,,,,,,,,,,,,,,,
CAMEROON,,,,0.0,,,,,0.09,1.11,0.22,,,,0.44,0.03,0.02,0.0,,,0.02,,,,,
CONGO P REP,,,,0.0,,,,,0.0,,,,,,0.48,0.13,0.04,0.07,0.01,,0.04,0.01,,,,
UKRAINE,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
CAMBODIA,,,0.0,,0.0,,,0.01,0.01,0.01,,,,,0.07,,,,0.01,,,,,,,
UZBEKISTAN,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
CZECH REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,
KYRGHYZSTAN,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
DOMINIC REP,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
MACAO,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
SLOVENIA,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
