countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.0,0.03,0.07,0.08,0.16,0.16,0.2,5.27,0.12,1.24,0.55,0.33,0.11,0.1,2.79,0.19,0.93,0.07,0.05,0.0,0.04,,,,,
SENEGAL,1.38,0.56,0.5,0.7,0.12,0.02,0.05,0.12,0.04,0.0,0.02,0.02,0.17,0.01,0.05,0.01,0.05,0.01,,0.02,,0.02,,,0.0,0.0
SEYCHELLES,0.06,0.08,0.06,0.04,0.03,0.03,0.03,0.04,0.08,0.02,0.05,0.03,0.02,0.02,0.03,0.02,0.04,0.04,0.01,0.07,0.03,0.01,0.05,0.01,0.01,0.01
MONTENEGRO,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,
SIERRA LEONE,0.06,0.83,0.02,0.22,2.19,0.08,0.0,0.01,0.03,0.03,0.09,0.24,0.4,0.05,0.01,0.04,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0
SLOVAK REP,0.01,0.02,0.05,0.01,0.05,0.04,0.05,0.02,0.03,0.02,0.04,0.02,0.0,0.0,0.0,,,,0.0,0.0,0.04,0.0,,0.0,0.0,
SINGAPORE,0.68,1.38,1.9,2.72,2.96,2.55,2.84,3.52,6.8,2.69,1.98,2.76,2.12,2.42,2.32,2.13,1.31,1.64,1.2,1.41,0.94,0.43,0.52,0.42,0.51,0.66
SLOVENIA,0.07,0.2,0.17,0.28,0.13,0.21,0.14,0.11,0.04,0.07,0.05,0.05,0.11,0.0,0.02,0.01,0.0,0.02,0.01,0.0,0.0,0.0,,0.0,,0.0
SOLOMON IS,0.02,0.01,0.01,0.0,0.02,,0.01,0.01,0.0,0.12,0.04,0.01,0.04,0.02,0.01,0.02,0.0,0.0,,0.0,0.01,,,,,
SOMALIA,0.01,0.05,0.05,0.13,0.12,0.16,0.01,0.0,0.08,0.0,0.0,,0.01,,0.0,0.0,0.0,,,,,,,,,
SOUTH AFRICA,2.14,2.69,2.31,2.89,3.3,3.59,3.02,3.43,2.55,2.36,3.78,3.95,2.5,2.53,2.72,2.75,2.28,2.31,2.42,1.12,0.66,0.5,0.75,0.57,0.33,0.43
SPAIN,1.32,1.49,0.98,1.27,1.49,1.21,2.19,1.92,3.53,1.62,1.85,2.42,2.88,2.76,2.47,1.32,1.66,0.84,0.28,0.39,0.09,0.05,0.03,0.14,0.06,0.06
SERBIA,0.02,0.01,0.0,0.03,0.03,0.1,0.13,0.03,0.0,0.0,,,,,,,,,,,,,,,,
SRI LANKA DSR,1.94,3.57,3.32,5.51,6.62,6.97,6.33,6.09,5.52,5.24,6.67,6.43,7.15,6.59,6.46,7.15,7.1,7.37,5.08,4.14,2.64,2.57,2.99,2.12,2.7,1.62
ST VINCENT,0.02,0.02,,,0.0,0.01,0.01,0.03,0.0,,0.01,0.04,0.0,0.03,0.0,0.01,0.01,0.01,,,,,,,,
SUDAN,1.83,2.91,0.07,0.19,4.97,1.14,0.22,2.88,0.27,0.18,0.19,0.22,0.18,0.15,0.12,0.36,0.05,0.04,0.09,0.1,0.02,0.01,0.09,0.04,0.01,0.01
SOUTH SUDAN,,0.01,,0.17,0.03,,,,,,,,,,,,,,,,,,,,,
SURINAME,0.0,,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.01,0.02,0.02,0.03,0.0,0.01,0.0,0.0,0.0,0.0
SWAZILAND,0.0,,,0.0,0.0,0.0,,0.01,0.0,0.08,0.05,0.13,0.05,0.07,0.05,,0.0,,0.01,0.0,0.0,,,,,
SWEDEN,0.28,0.51,0.18,0.17,0.06,0.01,0.19,0.08,0.18,0.07,0.27,0.35,0.25,0.6,1.89,0.09,0.13,0.17,0.22,0.19,0.08,0.04,0.16,0.01,0.03,0.02
SWITZERLAND,0.05,0.05,0.05,0.06,0.08,0.12,0.14,0.26,0.33,7.26,6.38,3.81,2.53,0.54,0.78,0.38,0.16,0.13,0.17,0.1,0.07,0.04,0.04,0.05,0.06,0.04
SYRIA,0.0,0.01,,,,,,,0.0,0.0,0.04,0.05,0.16,0.14,0.09,0.01,0.0,0.08,0.01,0.0,0.02,0.0,0.01,0.02,,0.0
TAJIKISTAN,0.0,0.03,0.0,0.0,0.01,0.02,0.04,0.04,0.0,0.0,0.0,0.05,0.0,0.06,0.02,0.0,0.06,,0.02,0.03,0.0,,0.0,,,0.01
TANZANIA REP,8.48,11.21,3.37,6.9,7.15,3.01,6.01,4.1,3.51,6.33,2.46,2.45,2.5,2.42,2.73,4.32,1.92,2.36,1.69,0.91,0.83,0.34,0.38,0.29,0.24,0.14
THAILAND,0.06,0.61,1.75,0.34,1.32,1.36,1.34,1.06,1.66,1.03,1.93,1.0,0.31,0.44,0.33,0.28,0.18,0.25,0.14,0.24,0.13,0.15,0.16,0.19,0.16,0.05
ST KITT N A,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.03,0.02,0.0,0.01,0.0,0.0,,,,,0.0,
SAUDI ARAB,1.68,2.85,2.04,3.36,3.44,3.55,4.37,5.1,5.2,4.97,5.39,4.5,3.97,1.99,2.08,1.74,2.07,1.55,0.64,1.14,0.76,0.7,0.77,0.54,1.0,0.33
RWANDA,0.0,1.17,0.01,0.17,0.04,0.75,1.14,2.07,0.1,0.07,0.88,1.05,0.85,0.92,1.77,0.03,0.02,0.0,0.02,0.06,0.03,0.0,0.0,0.01,0.0,
RUSSIA,0.02,0.03,8.5,4.81,3.3,0.05,0.18,0.17,0.41,0.28,0.44,0.15,0.09,0.37,0.63,0.25,0.53,0.47,0.09,0.21,0.09,0.06,0.05,0.1,0.03,0.04
MONTSERRAT,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
MOROCCO,1.04,0.9,0.28,0.19,0.32,0.36,0.5,0.21,0.1,0.01,0.09,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,,0.0,0.0,
MOZAMBIQUE,2.78,7.39,2.4,3.13,4.81,1.82,4.16,5.86,1.11,3.72,4.63,0.15,1.98,4.51,0.83,0.84,0.07,0.54,0.43,0.03,0.0,0.0,0.0,0.0,,0.0
NAMIBIA,0.0,0.01,0.0,0.0,0.03,0.01,0.01,0.02,0.1,0.23,0.01,0.05,0.04,0.01,0.08,0.0,0.0,0.0,0.02,0.04,,0.0,0.0,0.01,0.0,
NEPAL,4.1,4.7,2.46,5.71,9.28,7.81,4.63,3.93,4.81,4.76,4.38,4.14,3.21,3.69,3.07,2.94,2.04,1.38,1.22,0.95,0.5,0.09,0.1,0.14,0.09,0.13
NETHERLAND,3.29,5.12,3.82,3.02,2.25,1.5,2.25,4.08,3.06,3.58,3.28,3.36,2.85,2.67,1.62,1.32,1.62,0.89,1.04,0.76,0.64,0.37,0.4,0.44,0.34,0.44
NETHERLANDANTIL,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.02,,,0.02,0.04,0.03,,,
NEW ZEALAND,0.17,0.24,0.19,0.17,0.25,0.31,0.44,0.46,0.5,0.72,0.68,0.57,0.37,0.53,0.59,0.67,0.65,0.24,0.16,0.17,0.08,0.09,0.04,0.03,0.02,0.07
NICARAGUA,0.0,,,,0.01,0.0,0.02,0.0,0.03,0.02,,0.0,0.0,0.03,0.01,0.0,0.23,0.09,,,,,,,,
NIGER,0.0,0.77,1.29,0.58,1.35,0.87,0.6,0.05,0.06,0.0,0.02,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.0,,0.0,,0.15,,,
NIGERIA,9.88,12.27,8.57,18.04,17.48,14.77,8.95,13.67,15.18,22.15,27.02,34.12,28.42,17.72,21.02,7.54,6.43,4.17,2.15,2.77,1.65,2.04,0.36,0.46,0.36,0.09
NORFOLK IS,,,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,0.11,0.15,0.15,0.17,0.26,0.25,0.33,0.35,0.43,0.59,0.62,0.67,0.71,0.58,0.61,0.57,0.34,0.07,0.03,0.15,0.02,0.0,0.07,0.03,0.01,0.01
OMAN,0.89,1.78,0.93,1.58,1.46,1.41,1.38,1.84,1.52,1.4,1.38,1.07,0.96,0.84,0.86,0.9,0.7,0.55,0.4,0.42,0.41,0.29,0.33,0.27,0.32,0.25
PAKISTAN IR,4.87,3.76,0.0,1.07,3.78,2.59,3.24,4.8,4.77,4.5,11.42,6.07,3.83,5.05,6.47,6.12,3.9,4.7,2.57,1.96,1.15,0.37,0.88,0.82,0.98,1.05
PANAMA REPUBLIC,0.27,0.2,0.05,0.34,0.44,0.29,0.5,0.43,0.53,0.43,0.59,0.71,0.66,0.18,0.07,0.15,0.23,0.28,0.16,0.09,0.0,,0.0,,0.0,0.0
PAPUA N GNA,0.18,0.44,0.44,0.31,0.52,0.32,0.5,0.52,0.67,0.97,1.71,0.58,0.58,0.4,0.36,0.36,0.15,0.14,0.03,0.02,0.02,0.06,0.03,0.04,0.02,0.01
PERU,0.13,0.15,0.13,0.02,0.11,0.05,0.03,0.03,0.08,0.03,0.02,0.02,0.0,0.01,0.0,0.15,0.0,0.01,0.01,0.01,0.0,0.01,,0.0,,
PHILIPPINES,0.97,0.76,0.75,1.64,1.82,1.3,1.58,2.17,1.38,1.34,7.25,1.65,3.14,1.23,0.92,1.4,1.24,1.05,0.5,0.54,0.5,0.56,0.36,0.46,0.24,0.02
POLAND,0.0,0.01,0.04,0.06,0.1,0.07,0.11,0.11,0.13,0.5,0.37,0.21,0.07,0.24,0.38,0.4,0.21,0.08,0.09,0.01,0.0,0.01,0.0,0.0,0.0,0.0
PORTUGAL,0.03,0.08,0.11,0.11,0.14,0.16,0.09,0.33,0.21,0.45,0.09,0.35,0.14,0.17,0.02,0.1,0.04,0.08,0.06,0.03,0.02,0.0,0.01,0.34,0.01,0.01
TIMOR LESTE,0.03,0.05,,,0.0,,,,0.0,,,0.01,,,,,0.01,,,,,,,,,
QATAR,0.81,1.76,1.51,1.71,1.59,1.57,1.55,1.53,1.52,0.94,1.01,1.22,0.84,0.59,0.75,0.57,0.36,0.4,0.39,0.22,0.37,0.12,0.19,0.1,0.15,0.14
REUNION,0.01,0.08,0.08,0.11,0.15,0.1,0.11,0.07,0.11,0.2,0.22,0.29,0.17,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ROMANIA,0.15,0.37,0.38,0.48,0.32,0.44,0.2,0.24,0.38,0.06,0.09,0.17,0.14,0.11,0.04,0.14,0.04,0.02,0.09,0.01,0.03,0.05,0.01,0.0,0.0,
TOGO,0.18,0.53,0.01,0.47,0.52,0.02,0.02,0.06,0.03,0.02,0.0,0.03,0.01,0.01,0.03,0.02,0.01,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0
TOKELAU IS,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
TONGA,,0.0,0.01,0.01,,0.02,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
TUNISIA,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.17,0.03,0.0,0.01,0.0,0.02,0.01,0.0,0.04,0.01,0.02,0.0,0.0,,,,,,
MARSHALL ISLAND,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,
NAURU RP,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0
PALAU,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
ANGUILLA,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,
BERMUDA,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,
CUBA,,,,,,,,,0.0,0.02,0.26,0.09,0.0,0.01,0.03,0.01,0.02,0.04,0.06,0.13,0.0,0.0,,,0.0,0.0
NEW CALEDONIA,,,,,,,,0.0,,0.03,0.06,0.12,0.04,0.08,0.02,0.03,0.07,0.03,0.01,0.01,,0.0,0.0,0.0,,
GUAM,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,
US MINOR OUTLYING ISLANDS,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
ERITREA,,,,,,,,,0.02,0.01,0.01,1.28,1.31,0.5,0.02,0.08,0.23,0.07,0.02,0.01,,,,,,
KOREA DP RP,,,,,0.01,0.0,,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.01,,,0.0,0.02,0.04,0.07,0.08,0.1,0.01,0.01,
UNION OF SERBIA &amp; MONTENEGRO,,,,,,,,,0.05,0.07,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,
FAROE IS.,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUTRAL ZONE,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
