countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.01,,0.0,0.01,0.01,0.04,0.49,0.19,0.25,0.78,,0.04,0.04,0.01,0.0,0.0,,0.15,0.0,,,,,,0.0
U K,1.33,0.38,0.56,0.81,1.38,1.46,0.94,0.2,0.29,1.36,0.27,0.08,0.06,0.44,0.06,0.09,0.02,0.02,0.18,1.23,3.68,3.11,3.72,3.9,1.61,1.23
U S A,12.19,15.45,57.55,66.31,1.82,1.97,48.03,140.64,175.63,212.26,199.83,241.04,212.87,172.02,189.63,18.41,10.91,0.75,0.48,0.84,0.62,0.99,0.25,5.64,9.34,10.55
URUGUAY,0.03,,,,,,,,,,,0.0,,,,,,,,,,,,,,
UZBEKISTAN,,0.03,0.01,0.0,0.01,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.11
VIETNAM SOC REP,0.03,0.16,0.04,0.0,0.77,0.01,0.0,0.01,0.01,0.0,0.12,0.01,0.0,0.0,0.01,0.0,,,,,0.02,0.02,,,,
YEMEN REPUBLC,0.01,0.0,0.02,0.0,,0.03,,,0.0,0.0,0.33,,0.0,0.09,,,,0.12,0.13,0.12,0.25,0.45,0.62,0.12,,0.0
CONGO D. REP.,0.09,0.01,0.02,0.02,0.01,0.0,,,0.0,0.26,0.0,,,,,,,,,,,,,,,
ZAMBIA,0.02,0.0,0.01,0.05,0.04,0.02,0.02,0.07,0.01,0.0,0.02,0.0,0.0,0.0,0.1,,,,,,,,,,,0.0
U ARAB EMTS,1.11,3.38,1.9,4.29,2.19,4.42,5.25,6.18,5.67,4.94,6.87,15.53,20.83,23.28,17.58,24.65,21.43,25.73,38.97,29.66,8.89,7.93,5.3,4.81,1.95,1.93
ZIMBABWE,0.0,,0.0,0.0,0.0,0.0,,0.01,,,,0.0,0.01,,,,,,,,,0.0,,,0.0,
DENMARK,,,0.0,0.0,0.1,0.0,0.08,0.0,,0.0,0.01,0.01,0.02,0.05,0.02,0.01,,,,,,,,,,
GUINEA BISSAU,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,
NIGER,,,0.04,0.04,0.01,0.05,,,,,0.0,,,,0.02,,,,,,,,,,,
SLOVENIA,,,0.0,,0.0,0.02,0.04,,,,,,0.0,,,,,,,0.05,0.28,0.3,0.16,,0.01,
SYRIA,,,0.01,,,,,,,,,,,,,,,,,0.13,,,,,0.0,
TRINIDAD,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,
TUNISIA,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,0.33,0.02,,,,0.23
SAMOA,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
C AFRI REP,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
UGANDA,0.03,0.12,0.0,0.04,0.02,0.03,0.02,0.03,0.03,0.04,0.0,0.0,0.01,0.0,0.12,0.01,0.0,0.0,0.02,0.11,0.03,0.11,0.12,,0.12,0.19
TURKEY,0.08,0.1,0.05,0.01,0.02,0.0,,0.0,0.2,0.0,0.0,0.2,,1.21,2.89,3.78,0.22,0.05,0.7,2.83,,,,,0.0,0.0
TOGO,0.0,0.01,,0.0,0.0,,,0.0,0.09,0.44,0.09,0.01,,,0.0,0.01,0.0,0.0,,,,,,,0.01,
ROMANIA,0.0,,,0.02,0.01,0.0,0.01,0.0,0.75,0.47,0.03,,0.0,,0.0,,,0.03,,,,,,,,
