countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.0,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,
THAILAND,0.02,0.0,0.0,0.02,0.07,0.08,0.1,0.1,0.04,0.03,0.03,0.05,0.11,0.03,0.05,0.01,0.01,0.02,0.03,0.02,0.0,0.03,,0.02,0.02,
TOGO,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,
TRINIDAD,0.08,0.0,0.04,0.03,0.07,0.04,0.04,0.07,0.04,0.08,0.04,0.08,0.02,0.03,0.0,0.02,0.04,0.05,0.01,,,0.0,,,,
TURKEY,0.17,0.55,0.34,0.31,0.42,0.22,0.26,0.34,0.18,0.03,0.05,0.06,0.03,0.04,0.03,0.02,0.12,0.0,0.01,0.07,0.01,,0.01,,,0.01
TUVALU,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
UGANDA,,0.09,0.05,0.06,0.04,0.05,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.03,,0.0,0.0,,0.0
U ARAB EMTS,2.38,2.12,1.55,1.73,2.16,0.75,1.1,0.9,1.11,1.22,0.73,1.03,0.81,1.21,0.84,0.5,0.36,0.35,0.32,0.22,0.17,0.16,0.13,0.11,0.19,0.16
U K,12.87,18.54,15.23,12.6,8.44,7.83,8.35,8.13,6.01,8.44,3.18,1.94,4.73,3.03,1.85,1.22,0.96,0.88,0.48,0.26,1.0,1.87,0.64,0.31,0.59,0.53
UKRAINE,,0.09,0.03,0.04,0.02,0.02,0.0,,,0.0,0.0,0.0,0.03,0.01,,,,0.0,0.01,0.0,,,,,0.0,
