countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ALBANIA,0.21,0.28,0.25,0.34,0.15,0.01,,,,,,,,,,,,,,,,,,,,
SOUTH AFRICA,2.61,9.29,7.75,6.23,5.92,6.33,8.63,7.05,5.56,5.58,5.47,8.65,13.92,4.06,3.78,5.16,5.04,2.25,0.86,0.36,0.18,0.49,0.27,0.01,0.03,1.55
SPAIN,1.08,2.65,1.38,3.68,2.77,1.26,0.7,0.74,1.2,0.34,0.1,0.13,0.4,0.41,0.37,0.07,0.01,0.0,0.02,0.04,0.07,0.66,0.16,0.73,0.25,0.88
SRI LANKA DSR,0.27,0.74,0.51,0.28,0.48,0.46,0.43,0.31,0.38,0.53,0.3,0.29,0.19,0.23,0.12,0.15,0.17,0.46,0.09,0.08,0.02,,0.08,0.1,0.03,0.0
SUDAN,0.02,0.01,0.04,0.1,0.03,0.15,,0.0,,0.16,,0.0,0.0,,,,,,,,0.33,3.91,0.01,,,
SWAZILAND,,0.0,,,,,0.01,,,,,,0.56,,0.0,,,,0.08,,,,,,,
SWEDEN,,0.0,0.0,0.03,,,,,0.01,0.0,,,0.0,,,,,0.0,0.02,,,0.44,0.02,0.06,,0.06
SWITZERLAND,1.1,3.5,5.12,2.37,0.3,0.63,0.35,0.86,0.99,0.26,0.05,0.44,0.91,0.02,0.0,0.01,,0.01,0.02,0.53,0.51,0.16,0.27,0.07,0.25,0.21
SYRIA,1.57,4.17,1.98,2.44,1.21,1.72,2.63,2.1,3.49,2.97,3.04,1.59,0.87,0.57,0.05,,,,0.02,0.08,,,0.05,0.02,,
TAJIKISTAN,0.14,,,,0.0,0.05,0.0,,,,,,,,,,0.03,,,,,,,,,
TANZANIA REP,0.03,0.03,0.14,0.13,0.07,0.01,0.06,0.01,0.0,0.01,0.0,0.0,,0.01,0.01,,,,0.0,,,,,,,
THAILAND,1.33,1.6,1.75,1.53,1.96,1.23,1.11,0.82,0.77,0.19,0.09,0.33,0.01,0.11,0.47,0.04,0.01,0.05,0.12,0.13,0.04,0.03,0.17,0.09,,0.11
TOGO,2.75,4.56,2.94,4.6,4.14,4.5,3.17,3.05,1.33,3.1,1.45,1.54,1.51,0.71,0.25,0.37,0.26,,,,,,,,,
TRINIDAD,0.06,0.1,0.05,0.03,0.03,0.02,,0.01,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,
TUNISIA,0.52,0.85,0.64,0.66,0.18,0.58,0.18,0.17,0.12,0.38,0.15,,,,,,,,,,,,0.18,,,0.05
TURKEY,12.25,15.17,9.43,19.02,30.35,38.09,39.39,26.45,39.83,28.89,19.22,5.64,4.72,3.75,3.11,3.4,1.2,1.09,0.52,0.35,0.08,0.07,0.0,0.34,0.56,
