countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.04,0.0,0.1,0.01,0.19,,,,,0.0,0.11,0.0,,,,0.02,0.05,,0.03,,,,,,
UGANDA,0.01,0.07,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.02,0.01,0.03,0.01,0.0,0.01,0.03,0.0,0.01,0.0,0.0,,0.0,,0.0,0.0,0.02
U ARAB EMTS,3.21,4.65,7.28,5.4,5.61,5.48,6.02,6.38,5.43,5.0,4.28,3.52,3.76,3.64,3.25,3.44,2.54,1.49,1.12,0.83,0.58,0.53,0.59,0.34,0.26,0.25
U K,2.36,3.35,4.25,2.87,2.71,3.01,3.41,3.66,3.22,3.08,2.73,4.08,2.72,2.41,1.94,1.44,1.71,1.88,2.25,1.41,0.72,0.61,0.21,0.34,0.15,0.29
UKRAINE,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,
U S A,8.65,12.54,17.76,13.39,12.31,14.02,15.8,17.41,15.47,14.35,10.9,8.66,9.69,9.18,6.95,6.87,8.57,9.19,6.09,3.79,2.64,1.84,1.22,1.07,0.5,0.54
UZBEKISTAN,,0.0,0.0,,,,,,,,,,,,,,0.01,,,,,,,,,
VIETNAM SOC REP,0.0,0.01,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.01,,,0.05,,,0.0,,,0.0,,,,,
YEMEN REPUBLC,0.03,0.01,,0.02,,,0.0,0.01,0.01,,,0.09,0.02,0.01,0.0,0.02,0.03,0.01,0.01,,,0.02,,,0.0,0.02
TURKEY,0.0,0.0,0.02,0.01,0.01,0.21,0.0,,,0.0,,0.0,,,0.07,,,0.01,0.01,0.0,0.02,,0.02,,,
CONGO D. REP.,0.06,0.04,0.03,0.02,0.02,0.03,0.0,0.01,0.03,0.01,0.04,,,,0.0,,,,,,,,,,,0.0
AZERBAIJAN,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
BELARUS,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,
DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHIOPIA,,,0.05,0.01,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,
FR GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,
GUYANA,,,0.02,,,,0.0,0.01,,,,0.0,,,,,,,,,,,,,,
MALI,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
ZAMBIA,0.03,0.05,0.06,0.05,0.02,0.03,0.07,0.08,0.05,0.02,0.0,0.01,0.01,0.01,,0.0,0.0,0.02,0.0,0.03,,0.0,,,,
MONTSERRAT,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINIDAD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.05,0.0,,0.0,,,0.01,0.01
THAILAND,0.1,0.43,0.36,0.04,0.05,0.04,0.04,0.03,0.04,0.1,0.05,0.06,0.01,0.0,0.0,0.01,0.01,0.03,0.05,,0.05,0.0,0.04,0.01,0.08,0.03
TIMOR LESTE,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
QATAR,0.67,1.06,1.5,1.17,1.62,1.87,1.19,0.84,1.04,0.86,0.73,0.4,0.27,0.18,0.23,0.1,0.08,0.05,0.09,0.07,0.03,0.01,0.02,0.01,0.01,0.0
REUNION,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,,,,0.0,,0.0
RUSSIA,0.03,0.15,0.07,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.01,0.01,0.14,0.08,0.0,0.01,0.02,0.05,0.0,,0.0
RWANDA,,0.0,0.01,0.0,0.01,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,
SAUDI ARAB,0.82,2.35,3.02,1.67,1.46,1.82,1.26,1.27,0.89,0.86,0.93,0.78,0.51,0.44,0.22,0.23,0.39,0.4,0.16,0.21,0.21,0.17,0.07,0.01,0.05,0.13
SENEGAL,0.11,0.1,0.2,0.16,0.05,0.01,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,,,
SEYCHELLES,0.08,0.1,0.05,0.11,0.08,0.05,0.04,0.04,0.06,0.07,0.06,0.02,0.01,0.01,0.0,0.0,0.01,0.05,0.02,,,0.0,,,0.01,0.0
TOGO,0.01,0.0,0.0,0.01,0.06,0.02,0.04,0.05,0.02,0.03,0.01,0.03,0.03,,0.0,0.0,0.0,0.0,0.0,,,,,,,
SIERRA LEONE,0.03,0.01,0.06,0.02,0.04,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,
SOUTH AFRICA,0.14,0.19,0.19,0.24,0.15,0.31,0.33,0.22,0.2,0.24,0.21,0.21,0.17,0.17,0.14,0.33,0.29,0.31,0.32,0.08,0.05,0.01,0.02,0.03,0.25,0.16
SPAIN,0.03,0.03,0.1,0.01,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.03,0.02,0.0,0.0,0.01,0.09,0.06,0.02,0.01,0.01,0.03,0.01,0.0,,0.0
SRI LANKA DSR,0.61,1.87,0.99,0.79,1.53,1.83,1.62,1.97,1.47,1.35,1.72,1.01,0.94,0.69,0.86,0.62,0.46,0.36,0.26,0.18,0.14,0.43,0.26,0.25,0.15,0.24
SUDAN,0.02,0.08,0.0,0.0,,,0.02,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.02,0.0,,0.0,,0.01,,,
