countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ALBANIA,,0.01,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,
GEORGIA,,,,,,,0.02,0.03,,0.02,0.02,,0.03,,,,,,,,,,,,,
KAZAKHSTAN,,,,0.04,,,,0.05,,,0.02,,,,,,,,,,,0.02,,,,
NAMIBIA,,,,0.02,,0.01,0.01,0.01,0.15,0.07,0.05,0.16,0.07,0.03,0.01,0.16,0.09,0.01,,,,,,,,
UNSPECIFIED,,,,0.0,0.0,0.0,0.59,0.16,0.0,1.66,0.84,1.81,0.0,0.06,0.15,,0.04,,,0.0,,,,,,
AZERBAIJAN,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,,,,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,
ETHIOPIA,,,,,0.01,,,,,,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.01,,0.01,0.02,0.09,0.02,,0.03
FIJI IS,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
GREECE,,,,,0.1,,,,,,,,,0.02,,0.03,,,,,0.01,0.03,,,,
PERU,,,,,0.03,0.03,,0.03,,,,,,,0.1,,,,,,,,,,,
SOMALIA,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
TRINIDAD,,,,,0.03,,,,,,0.02,,,,,,,,,0.0,,,,,,
ARGENTINA,,,,,,0.01,,,,,,,0.12,,,,,,,,,0.0,,,,
CUBA,,,,,,0.01,0.03,0.19,0.08,0.04,0.01,,,,0.01,,,,,,,,,,,
DOMINIC REP,,,,,,0.02,,,,,0.02,,0.15,0.01,0.01,,,,,,,,,,,
GUINEA BISSAU,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
MALAWI,,,,,0.01,,,,,0.0,,,,,,,,0.01,,,,,,,,
BOLIVIA,,,,0.04,0.02,,,0.01,,,0.01,,,,,,,,,,,,,,,
TAJIKISTAN,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
SEYCHELLES,,,,0.01,0.01,,,0.01,,0.02,0.14,0.05,,0.0,,,,,0.0,0.0,0.0,0.0,,,,
U ARAB EMTS,45.47,56.7,59.76,54.5,62.94,64.38,65.97,63.19,64.88,58.96,59.48,49.53,36.35,36.1,45.84,23.58,17.86,13.97,10.79,9.37,9.04,7.48,9.54,6.81,5.87,3.9
U K,0.4,0.39,6.88,0.47,0.43,0.38,0.99,1.1,1.35,0.87,1.82,0.48,0.23,0.77,0.3,0.06,0.98,0.06,0.11,0.1,0.11,0.02,0.06,0.1,0.09,0.1
UKRAINE,,0.04,0.04,0.04,0.11,0.02,0.13,0.09,0.09,0.08,,,0.01,,,,,,,,,0.01,,,,0.01
U S A,3.37,4.58,3.32,2.82,1.61,2.34,1.64,0.7,0.3,0.51,0.93,0.59,0.16,0.19,0.18,0.13,0.15,0.29,0.13,0.19,0.15,0.16,0.18,0.05,0.07,0.19
VANUATU REP,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,
VENEZUELA,,0.02,,,,,0.34,,,,0.19,0.02,,,,,,,,,,,,,,
VIETNAM SOC REP,,0.43,0.26,4.05,7.37,9.83,9.18,7.07,9.92,11.62,8.03,4.09,2.48,0.15,0.55,0.29,0.09,0.02,0.5,,,,,,,
CONGO D. REP.,3.43,4.05,5.18,2.83,1.3,1.09,0.93,1.37,3.35,2.01,1.06,,,,,,,,,0.02,,0.01,0.01,0.02,,
ZAMBIA,0.21,0.27,0.36,0.33,0.49,0.59,0.31,0.35,0.16,,0.01,,0.0,,,,0.0,0.01,,,,,,,,
AUSTRIA,,,0.03,,,,0.0,,,,,,,,,,,0.01,0.0,,,,,,,
BANGLADESH PR,,,0.0,0.01,0.03,0.09,0.03,0.22,0.02,0.04,0.05,0.02,0.11,0.09,0.82,0.12,0.16,,,,0.05,0.01,0.01,,0.0,0.0
CYPRUS,,,0.01,,,0.06,0.0,,,,,,,,,,,,,,,,,,,
DENMARK,,,0.0,,0.04,0.0,0.07,0.01,0.01,,,,,0.0,,,,,,,,,,,,
IRAQ,,,0.07,0.16,0.1,0.11,0.03,0.11,,0.15,,,,0.25,,,,,,0.03,,,,0.05,,
