countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.04,0.22,0.09,0.12,0.18,0.25,0.23,0.25,0.46,0.33,0.43,0.26,0.11,0.07,0.86,0.36,0.05,0.03,0.01,0.05,0.0,,0.08,,0.0,
QATAR,2.06,1.81,1.33,1.6,2.05,1.78,1.6,2.07,2.07,1.51,1.16,1.27,1.14,1.34,2.34,1.17,0.76,0.73,0.66,0.53,0.45,0.34,0.47,0.4,0.54,0.46
REUNION,0.08,0.05,0.05,0.06,0.05,0.03,0.08,0.06,0.03,0.02,0.02,0.04,0.02,0.05,0.05,0.03,0.03,0.04,0.02,0.01,0.0,0.0,0.0,0.02,0.01,0.01
ROMANIA,0.55,0.93,1.0,1.06,0.92,1.24,0.84,0.59,0.38,0.56,0.34,0.3,0.34,0.42,0.33,0.29,0.08,0.08,0.01,0.1,0.03,0.01,0.02,0.01,0.05,0.11
RUSSIA,0.97,1.73,1.15,1.38,1.88,1.19,1.03,1.1,2.06,1.85,2.87,2.84,1.08,0.7,0.97,1.02,0.88,1.06,2.0,5.33,6.05,7.93,18.63,13.28,4.82,8.13
RWANDA,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.35,0.13,0.09,0.01,0.01,,0.0,0.01,,0.0,0.0,,,0.0,,0.0,0.01,
SAUDI ARAB,2.44,4.24,3.14,9.65,7.75,12.78,17.0,13.16,12.64,16.59,14.76,16.76,9.88,9.07,9.6,6.82,7.72,8.24,7.86,7.8,5.82,6.02,6.91,4.93,5.23,4.2
SERBIA,0.21,0.2,0.51,0.17,0.25,0.09,0.1,0.04,0.05,0.03,,,,,,,,,,,,,,,,
SENEGAL,0.03,0.03,0.02,0.03,0.06,0.01,0.02,0.01,0.0,0.02,0.15,0.25,0.23,0.18,0.55,0.41,0.02,0.07,0.0,,0.0,,,0.0,0.03,
SEYCHELLES,0.03,0.22,0.06,0.06,0.06,0.04,0.04,0.05,0.03,0.03,0.01,0.0,0.0,0.01,0.01,0.0,0.0,,0.01,0.03,0.01,0.01,0.0,0.0,0.04,0.01
