countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ALBANIA,,0.12,,,,,,0.04,,,,,,0.06,0.06,,,,,0.05,,,,,,
GEORGIA,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,
MALTA,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.02,
MAURITANIA,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
MOROCCO,,,0.3,,,,,,,,,,,,0.15,,0.12,0.03,,0.17,0.47,0.17,0.06,,,
SUDAN,,,0.0,,,,,0.01,,,,0.0,0.0,,,,,0.0,,,,,,,,
TUNISIA,,,0.0,,0.12,,,0.11,0.11,0.45,0.18,0.69,0.55,0.07,0.28,0.2,0.12,0.06,0.38,0.45,0.38,0.04,,,,0.14
UKRAINE,,,0.01,,,,,,,,,,,,,,,,,0.02,,,0.03,,,
ETHIOPIA,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0
BOLIVIA,,,,,,,,,,,,,,,,,,,,,,,,,,
GRENADA,,,,0.0,,,,,,,,,,,,,,,,,,0.03,,,,
LEBANON,,,,0.01,0.01,0.01,0.01,,,,0.01,0.0,0.0,0.0,0.0,,0.0,,0.08,0.0,0.04,,,,,
PAKISTAN IR,,,,0.02,0.02,,0.06,0.7,0.22,0.02,0.2,0.07,0.01,,,0.03,0.02,0.01,0.04,,,0.21,0.0,0.05,,0.0
PANAMA REPUBLIC,,,,,0.0,0.0,,,0.08,,,,,,,,0.01,,,,,,,,,
POLAND,,,,0.0,0.0,0.06,0.0,0.02,0.02,0.0,,,,,,,,0.04,,0.07,,0.08,,,,
TAIWAN,,,,,0.03,0.43,,0.12,0.43,1.43,1.63,1.93,0.28,0.37,0.19,0.26,0.06,0.45,0.4,0.71,0.37,0.53,0.23,0.07,,
LIBYA,,,,,0.06,,,,,0.24,0.02,,0.0,,0.07,,,,,,,0.04,0.04,,,
FINLAND,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,
MACAO,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,,,0.05,0.1,0.13,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,
SYRIA,,0.05,,,,,,,,,,,,0.03,,,,,,,,,,,0.17,
TAJIKISTAN,0.0,,,,,,,,,,,,,,,,,,,0.04,,,0.04,,,
TANZANIA REP,0.03,0.03,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.09,0.02,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0
THAILAND,0.47,2.22,1.15,,0.0,0.01,3.13,0.08,0.27,1.82,,0.01,0.32,0.58,0.01,,0.01,,0.37,,,,,,,
TOGO,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,
TRINIDAD,0.04,0.04,0.0,0.03,0.03,0.02,0.01,0.03,0.02,0.0,0.04,0.03,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,,,0.0
TURKEY,0.0,0.08,,,0.22,,,,0.08,0.01,0.01,,0.01,0.01,0.01,,,,,0.03,,,,,,
BURUNDI,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,
UGANDA,,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,
U K,1.23,2.32,2.04,2.22,2.69,4.1,1.65,3.18,3.51,5.1,6.9,5.03,3.54,4.45,1.51,2.83,2.45,2.41,2.85,1.9,1.9,2.22,2.35,1.81,0.68,1.18
U S A,0.85,1.83,1.59,0.93,2.35,2.48,1.51,2.92,3.66,4.6,3.49,1.57,0.79,0.36,2.09,3.91,0.23,0.36,0.38,0.26,0.01,0.27,0.67,0.3,0.16,1.74
VIETNAM SOC REP,7.1,0.0,0.03,0.02,0.0,2.23,0.06,0.08,3.9,8.58,0.89,,,,,,1.85,,,,,,,,,
YEMEN REPUBLC,,0.0,,0.0,0.02,0.0,,,,0.11,0.01,0.01,0.01,0.03,,0.01,0.0,0.01,0.02,,0.0,0.08,0.0,0.0,,0.01
CONGO D. REP.,0.12,0.09,0.12,0.08,0.04,0.02,,0.0,0.0,0.01,0.01,,,,,,,0.0,,,,,,,,
ZAMBIA,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,,
AFGHANISTAN,,,0.01,0.09,0.01,0.05,,,,,,,,,,,,0.0,0.0,0.3,,,,,,
U ARAB EMTS,8.92,10.68,3.33,4.44,9.26,7.57,12.69,7.2,6.96,10.43,2.07,2.84,1.61,2.33,1.38,2.41,1.78,0.6,0.83,0.92,1.04,0.43,0.98,0.59,0.43,0.22
NEW CALEDONIA,,,,,,,,,,,,,,,,,,,,,0.03,,,,,
