countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ANGOLA,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BELARUS,,,,,,,,,0.02,,,,,0.0,,,,,,,,,,,,
ALBANIA,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
TURKEY,,,,,,,,,0.01,,,0.0,,,,0.0,,,0.19,,,,,,,
TUNISIA,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,
PERU,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
LITHUANIA,,,,,,,,0.0,,,,,,,,0.01,0.01,,,,,,,,,
ECUADOR,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
CONGO P REP,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
BRAZIL,,,,,,,,,,,0.08,,,,,,,,0.0,,,,,,,
LIBYA,,,,,,,,,,,,,,,,,,,,,,,,,,
IRELAND,,,,,,,,,,0.0,,,,,,,,0.07,,,,,,,,
AUSTRIA,,,,,,,,,,,1.38,,,,,,,,,,,,,,,
AFGHANISTAN,,,,,,,0.01,,,,,,,,,,0.0,0.01,,,,,,,,
TANZANIA REP,,,,,,,,0.49,1.2,1.74,0.72,,,,0.02,0.01,0.0,,,0.02,,0.0,,,,
NEW ZEALAND,,,,,,,,,,,0.0,,0.01,,0.01,0.0,,,,0.0,,,,,,
MYANMAR,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,
KAZAKHSTAN,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
GUYANA,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
SEYCHELLES,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,
NETHERLANDANTIL,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,,,,,,0.0,,0.01,0.0,0.0,0.01,0.0,,,0.0,0.02,0.0,,,,,,,,,0.0
CHINA P RP,,,,,0.06,,,,,0.0,,0.0,,,0.0,0.01,0.0,,,,,,,,,
ALGERIA,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
