countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.0,0.0,0.0,,0.02,,0.0,,0.0,0.01,0.04,0.02,0.0,0.01,0.0,,0.02,,,,,,,,
SUDAN,0.01,0.01,0.0,0.01,0.01,0.07,0.0,0.0,0.01,0.0,0.0,,,0.01,,0.0,0.09,0.02,0.02,,,,0.0,,0.0,
SWEDEN,0.86,0.34,0.76,0.19,0.12,0.05,0.11,0.3,0.12,0.08,0.67,0.23,0.24,0.03,0.51,0.23,0.09,0.02,0.01,0.07,0.09,0.13,0.09,0.05,0.0,0.09
SWITZERLAND,0.09,0.18,0.06,0.22,0.43,0.37,0.23,0.31,0.19,0.05,0.02,0.11,0.05,0.02,0.45,0.04,0.05,0.12,0.06,0.03,0.26,0.25,0.02,0.06,0.06,0.03
TANZANIA REP,0.02,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.01,0.02,0.0,0.07,0.11,0.12,0.01,0.15,0.01,0.01,0.01,0.03,,,0.01,0.0,,0.0
THAILAND,0.27,1.05,0.38,0.73,0.48,0.24,0.32,0.61,1.85,0.91,1.81,1.41,0.35,0.24,0.81,0.14,0.08,0.03,0.23,0.17,0.12,0.11,0.02,0.0,0.01,0.07
TOGO,0.01,0.01,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
TRINIDAD,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.01,0.01
TUNISIA,,0.14,0.0,,0.0,,0.0,0.0,,0.01,,,,,0.17,,,0.0,0.0,,,,,,,
TURKEY,0.43,1.65,0.95,0.05,0.07,0.03,0.03,0.09,0.09,0.04,0.04,0.01,0.01,0.02,0.07,0.21,0.26,0.11,0.29,0.01,0.02,0.01,0.12,0.0,0.0,0.0
UGANDA,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.12,0.0,0.04,,0.09,0.0
U ARAB EMTS,69.86,52.24,40.35,79.11,55.17,0.14,0.92,0.14,0.07,0.07,0.06,0.44,0.43,0.46,0.12,0.29,0.29,1.34,0.13,3.47,2.08,0.22,0.06,0.25,0.46,0.03
U K,2.04,7.59,1.09,0.84,0.94,0.76,1.04,0.9,0.68,0.26,0.08,0.17,0.29,1.98,0.42,0.49,1.01,2.84,0.97,4.53,4.2,0.77,0.41,0.3,0.67,0.74
U S A,12.41,10.46,20.47,10.3,12.43,8.55,8.0,7.07,7.12,8.24,9.75,9.06,10.7,8.45,6.26,6.6,12.54,7.23,3.84,4.79,6.29,4.69,7.01,3.37,11.94,7.42
URUGUAY,0.01,0.02,,0.0,,0.0,0.0,0.0,0.02,,,0.0,,,,,,,,,,,,,,0.01
UZBEKISTAN,0.05,0.01,0.0,0.0,,,,,,0.0,,0.0,,,,0.02,,,0.0,,,,,,,
VIETNAM SOC REP,21.69,58.19,42.85,12.07,24.6,9.21,1.92,3.06,0.54,0.2,0.02,0.03,0.01,0.01,0.0,0.07,0.0,0.01,2.11,0.03,0.01,0.02,,,,
YEMEN REPUBLC,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.02,0.0,0.0,0.0,0.0,,0.0,,0.02,0.0,,0.07,,,0.0,0.0
CONGO D. REP.,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.23,,,,,,,,,,,,,,,,,
ZAMBIA,0.0,0.01,0.0,0.0,0.01,0.08,0.0,0.01,0.01,0.0,0.1,0.03,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,
SRI LANKA DSR,0.06,0.05,0.13,0.12,0.27,0.22,0.28,0.31,0.26,0.11,0.03,0.02,0.03,0.06,0.02,0.14,0.29,0.25,0.72,0.51,0.16,0.09,0.03,0.03,0.06,0.02
ZIMBABWE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.01,,,,,,,,,0.0,,,
SPAIN,0.16,0.18,0.05,0.15,0.26,0.24,0.17,1.21,0.62,0.02,0.04,0.0,0.01,0.02,0.01,0.34,0.01,0.02,0.03,0.03,0.02,0.54,0.31,0.0,0.01,0.02
SOMALIA,,,,,,,0.0,0.01,,,,,,,,,,0.02,,,,,,,,
PAKISTAN IR,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.01,,0.01,,,,,,,,,0.0,
PANAMA REPUBLIC,,0.0,,,,,,,0.0,,,,,,0.28,,,,,,,,0.0,,0.0,0.01
PARAGUAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,
