countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ALGERIA,1.51,1.75,0.95,1.65,5.38,4.31,3.18,0.1,2.83,2.42,1.32,0.99,0.58,0.79,0.39,0.84,0.45,0.75,0.17,0.2,0.12,,0.0,,,
EL SALVADOR,,,,,,,,,,0.12,,,,,,,,,,,,,,,,
ESTONIA,,,,,,,,,,0.06,,,,,,,,,,0.07,0.08,0.05,,,0.03,
MADAGASCAR,,,,,,,,,,,,,0.03,,,,,,,0.04,0.04,,0.03,,,0.04
SAMOA,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
AFGHANISTAN,,,,,,,,,,,0.08,,0.04,,,,,,0.23,,,0.01,,,,
BOTSWANA,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
CHAD,,,,,,,,,,,0.02,,,,,,,,,,,,,0.14,0.02,0.29
CROATIA,,,,,,,,,,,0.01,,0.05,0.13,0.55,0.11,,0.08,0.02,0.03,0.06,,,0.0,0.02,0.02
FR POLYNESIA,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,
ICELAND,,,,,,,,,,,,0.02,,,,,,,0.0,0.01,0.0,0.02,,0.01,,
ZIMBABWE,,,,,,,,,,,,0.05,0.08,,,,0.03,,,,,,,,,
ALBANIA,,,,,,,,,,,,,0.04,,,,,,,,0.0,0.06,,,,
COSTA RICA,,,,,,,,,,,,,0.11,,,,,,,,,,,,,
SYRIA,,,,,,,,,,,,,0.05,0.03,0.03,0.11,,,,0.0,,,,,,0.0
URUGUAY,,,,,,,,,,,,,0.03,,,0.04,0.03,,,,,,,,,
SLOVENIA,,,,,,,,,,,,,,0.03,,,0.04,,,0.03,,,,,,0.03
SUDAN,,,,,,,,,,,,,,0.01,,,,0.0,,,0.06,0.06,,,0.0,
SWEDEN,,,,,,,,,,,,,,0.0,,0.0,,,,,0.04,,0.01,,0.01,
UGANDA,,,,,,,,,,,,,,0.08,,0.0,,,,0.08,,,,,,
COLOMBIA,,,,,,,,,,0.09,,,0.16,,,,0.0,,,,,,,,0.0,0.02
BERMUDA,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
ARGENTINA,,,,,,,,,,0.08,,,,,,0.05,,,,,,,,,,0.07
UNSPECIFIED,,,,,,,,,0.01,0.01,,0.03,0.01,0.92,,0.96,1.56,,0.05,1.01,0.03,0.01,0.0,,,
LATVIA,,,,,,,,,,,,,,,,,,,,,,,,,,
LITHUANIA,,,,,0.0,,,,0.06,0.38,0.07,0.34,0.42,0.37,1.06,0.58,0.05,0.19,,0.29,0.81,0.17,1.35,1.28,,
PAKISTAN IR,,,,,,,,,,,,,,,,,0.02,0.0,,,,0.08,,,0.0,0.1
PANAMA REPUBLIC,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,
CONGO D. REP.,,,,,0.07,,,,0.08,,0.03,,,,,,,,,,,,,,0.01,0.0
JAMAICA,,,,,,0.03,,,,,,,,,,,,,,,,,,,,
