countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,3.38,3.5,2.66,3.13,3.07,6.25,0.2,1.22,1.85,0.29,0.28,0.12,0.19,0.42,0.5,0.89,0.23,0.29,1.42,0.76,0.06,0.64,0.63,0.24,0.26,0.12
SERBIA,0.01,,0.05,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,
SENEGAL,0.33,0.23,0.35,0.12,0.03,0.01,,0.0,0.0,,0.0,0.0,0.02,,0.0,0.04,,,,0.0,0.08,,,0.01,0.02,
SEYCHELLES,0.17,0.2,0.14,0.13,0.16,0.1,0.06,0.11,0.02,0.03,0.07,0.13,0.06,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.07,0.02,0.03,0.02,0.01,0.01
SIERRA LEONE,0.24,0.33,0.13,0.07,0.07,0.01,0.01,0.07,0.03,0.03,0.1,0.05,0.01,0.0,0.0,,,0.01,,,,0.0,,,,
SLOVAK REP,0.0,0.0,0.0,0.01,0.01,0.0,0.0,,,,,,,,,,,,0.07,,,,,,,
SINGAPORE,9.41,15.78,15.77,15.36,10.84,10.14,5.74,6.17,4.31,3.71,4.0,2.63,1.91,2.33,1.46,1.12,1.04,0.95,0.49,0.56,0.93,0.89,0.87,0.34,0.14,0.23
SLOVENIA,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.04,0.01,0.03,0.09,0.0,0.0,0.0,,,0.01,,0.03,,,,
SOMALIA,1.04,3.94,3.03,1.18,0.89,0.78,0.7,0.2,0.17,0.31,0.13,0.97,,,,,,,,,,0.02,0.01,,,
SOUTH AFRICA,1.98,2.92,2.46,1.88,1.25,1.28,1.15,1.67,1.38,1.62,1.96,1.56,0.95,1.3,0.67,0.45,0.22,1.21,0.36,0.34,0.17,0.12,0.21,0.23,0.31,0.1
SPAIN,0.47,0.91,0.82,0.71,1.15,0.73,0.23,1.14,0.97,0.78,0.49,0.07,0.04,0.04,0.04,0.05,0.02,0.0,0.02,0.03,0.21,0.21,0.15,0.0,0.02,0.0
SRI LANKA DSR,3.78,8.91,6.8,6.11,5.02,4.1,7.1,5.62,4.15,4.72,3.66,3.48,2.8,1.46,1.19,1.42,1.44,1.49,1.39,1.63,1.42,1.12,1.61,0.7,0.27,0.33
ST KITT N A,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,
ST LUCIA,0.02,0.03,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SUDAN,1.71,2.63,2.95,1.88,0.83,0.64,0.55,0.54,0.21,0.19,0.18,0.14,0.05,0.01,0.0,0.03,0.0,0.0,0.01,0.01,0.0,,,,0.0,0.02
SOUTH SUDAN,0.0,0.12,0.45,0.02,0.0,,,,,,,,,,,,,,,,,,,,,
SURINAME,0.02,0.04,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,,,,0.0,,,0.0,,,,,,,
