countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.07,0.15,0.15,0.14,0.05,0.23,0.4,0.25,0.85,1.02,0.85,0.44,0.17,0.38,0.52,0.33,0.11,0.27,0.65,0.27,0.52,0.13,0.23,0.22,0.49,0.55
SIERRA LEONE,0.14,0.14,0.11,0.04,0.14,0.08,0.18,0.22,0.18,0.28,0.14,0.19,0.33,0.19,0.22,0.21,1.66,0.37,0.44,0.12,0.14,0.09,0.05,0.05,0.12,0.05
SLOVAK REP,0.02,0.03,0.03,,,,0.0,,0.03,0.0,0.01,0.03,0.02,,0.03,0.01,0.0,0.0,1.0,0.22,0.03,0.0,,0.02,,
SINGAPORE,0.9,1.64,1.97,6.44,5.24,4.37,4.93,2.61,13.24,17.2,22.73,15.39,8.64,4.2,5.42,5.14,2.52,1.42,1.02,0.83,6.3,5.63,2.46,8.72,3.28,2.91
SLOVENIA,0.13,0.01,0.01,0.19,0.12,0.34,0.21,0.03,0.02,0.06,0.09,0.06,0.07,0.1,0.29,0.17,0.53,0.28,0.08,0.1,0.09,0.09,,,0.02,
SOLOMON IS,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.0,,,0.06,0.0,0.01,0.01,,0.0,0.02,0.0,0.01,,0.03,0.04,0.04,0.0
SOMALIA,0.23,0.2,0.14,0.08,0.13,0.3,0.06,0.06,0.08,0.0,0.01,0.06,0.14,0.13,0.13,0.07,0.01,0.06,0.07,0.05,0.02,0.22,0.18,0.27,0.06,0.05
SOUTH AFRICA,0.68,1.25,1.62,4.45,2.5,2.29,1.76,2.47,2.31,3.19,8.0,24.72,35.45,25.56,21.6,16.0,5.95,5.93,9.31,6.19,4.68,3.03,3.16,2.05,2.0,1.72
SPAIN,12.87,15.68,10.4,5.04,2.93,4.61,2.31,1.61,1.1,1.6,1.41,1.64,2.87,1.78,2.29,2.06,0.89,1.15,0.81,0.72,1.64,0.59,0.83,2.84,2.24,1.24
SRI LANKA DSR,4.12,4.61,4.79,3.57,4.24,4.39,4.33,4.81,4.01,3.88,3.0,4.67,9.11,6.17,6.68,7.68,4.26,3.4,2.39,2.84,2.54,3.55,5.5,5.72,6.61,5.61
ST KITT N A,,0.01,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.01,0.01,0.0,0.02,0.0,,0.02,0.0,0.08,0.01,,,,,0.03
ST LUCIA,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.03,0.04,0.04,0.02,0.02,0.01,0.02,0.0,0.03,0.02,0.0,0.05,0.0,,
SEYCHELLES,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.03,0.04,0.01,0.02,0.16,0.16,0.07,0.16,0.09,0.08,0.04,0.08,0.02,0.0,0.0,0.02,0.01,0.01,0.01
ST VINCENT,0.0,0.0,0.0,0.0,0.01,,,,,,0.0,0.03,0.02,0.02,0.0,0.01,0.01,0.02,,,,,,,,
SOUTH SUDAN,0.01,0.02,0.01,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SURINAME,,0.0,,0.01,,,0.01,0.0,0.01,0.01,0.03,0.06,0.03,0.12,0.17,0.1,0.02,0.05,0.01,,0.03,,0.0,,,
SWAZILAND,0.09,0.01,0.2,0.01,0.06,0.02,0.11,0.02,,0.02,0.03,0.63,0.66,2.74,1.6,1.71,0.07,0.41,0.02,,0.04,,,,,
SWEDEN,,,0.0,0.0,0.01,0.0,0.01,,0.06,0.04,0.05,0.0,0.08,1.16,0.73,0.13,0.0,0.0,0.1,0.05,0.02,0.0,0.03,0.02,0.01,0.01
SWITZERLAND,1.11,1.35,1.39,2.0,1.32,1.53,1.27,0.64,0.87,1.52,2.23,2.56,1.48,0.97,1.7,1.0,1.02,1.76,0.73,1.62,0.97,1.97,1.89,0.84,0.86,3.53
SYRIA,0.02,0.13,0.18,0.0,0.57,0.71,0.24,0.24,0.26,0.29,0.65,1.13,0.66,0.68,0.3,0.44,0.38,0.4,0.53,0.43,0.54,0.19,0.17,0.09,0.25,0.15
TAJIKISTAN,0.08,0.04,0.12,0.08,0.11,0.17,0.12,0.13,0.11,0.2,0.29,0.4,0.27,0.37,0.21,0.25,0.04,0.2,0.05,0.06,0.01,,,0.02,,0.03
TANZANIA REP,0.67,0.83,0.31,0.43,0.49,2.52,2.0,0.47,0.51,1.43,5.36,0.51,7.97,3.2,6.02,3.19,0.65,0.42,0.74,1.21,0.41,0.58,0.8,0.9,1.25,0.93
THAILAND,0.38,0.55,0.19,3.1,4.71,3.56,1.73,2.84,2.6,2.64,3.67,11.3,13.5,9.53,10.03,3.73,2.27,2.55,1.9,1.44,1.24,0.76,1.47,1.54,0.85,0.54
