countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.0,,0.01,0.01,0.0,0.0,0.01,0.0,0.0,,0.01,,,0.0,,,0.0,,0.0,,,,,,
TANZANIA REP,0.0,0.01,0.0,0.0,0.01,0.01,0.04,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,,,,0.0,,,0.01,0.0,
THAILAND,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.01,,,
TOGO,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TONGA,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINIDAD,0.0,,,,0.0,0.0,0.0,0.04,0.0,0.0,,0.01,0.0,,,,,0.0,0.0,,,,,,,
TUNISIA,,0.0,,,,0.0,,0.0,,,0.0,,0.01,,,,0.01,,,,,,,,0.0,
TURKEY,0.31,0.31,0.14,0.13,0.1,0.01,0.01,0.05,0.03,,0.07,0.0,0.03,,0.0,0.0,0.03,,0.0,0.01,0.01,,,,,
UGANDA,0.0,0.0,0.0,0.01,0.01,0.01,0.03,,0.0,0.0,0.0,0.0,0.0,,,0.11,,,,0.01,0.0,,,,,
U ARAB EMTS,0.84,0.97,0.89,0.53,0.58,0.34,0.42,0.36,0.38,0.32,0.19,0.18,0.22,0.15,0.15,0.17,0.44,0.34,0.19,0.11,0.14,0.11,0.06,0.09,0.05,0.2
U K,2.33,4.29,2.31,1.94,1.07,0.3,0.6,0.74,0.54,0.31,0.15,0.13,0.2,0.12,0.14,0.32,0.09,0.21,0.25,0.28,0.29,0.07,0.05,0.05,0.06,0.4
UKRAINE,0.03,0.0,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,
U S A,27.8,50.38,17.27,8.44,4.05,3.45,7.82,5.99,3.44,4.79,3.54,1.27,1.5,1.47,0.9,0.39,0.51,0.56,1.0,0.35,0.38,0.27,0.57,0.13,0.11,0.14
URUGUAY,0.01,0.01,0.01,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,
UZBEKISTAN,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,
VENEZUELA,,0.0,,0.01,,,,,,,,0.0,0.02,0.01,,,0.0,,0.0,,,0.0,,,,
VIETNAM SOC REP,0.02,,0.0,0.0,,,,,0.0,,0.0,0.01,,,,0.0,,,,,,,,,,
YEMEN REPUBLC,0.01,0.01,,0.0,0.01,,0.01,0.01,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,0.01,0.0,,,,
CONGO D. REP.,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
ZAMBIA,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.01,,,,,,0.0
