countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,1.21,1.95,2.41,2.94,2.79,2.51,1.7,1.88,2.08,2.82,1.95,2.68,1.39,1.14,0.82,0.6,0.32,0.43,0.42,0.11,0.11,0.02,0.13,,0.0,0.0
RWANDA,0.04,0.07,0.05,0.01,0.01,0.0,0.01,0.01,0.01,0.08,,,,0.01,0.0,,,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.03
SAUDI ARAB,4.62,6.79,6.84,8.07,9.48,7.71,5.87,8.45,6.85,4.85,4.29,6.07,4.41,5.12,7.67,3.33,5.12,4.25,2.27,1.9,0.93,0.57,0.39,0.74,1.19,0.38
SERBIA,0.02,0.04,0.01,0.04,0.02,0.01,0.01,0.0,0.01,,,,,,,,,,,,,,,,,
SENEGAL,0.06,0.05,0.01,0.01,0.01,0.01,,0.01,,0.01,0.0,0.01,0.01,0.0,0.0,0.08,,0.0,,,0.0,0.0,,,,
SEYCHELLES,0.05,0.07,0.08,0.11,0.09,0.05,0.03,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.0,0.0,0.0,,0.0,0.01,,0.0,,,0.0,0.0
SIERRA LEONE,0.0,0.04,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,
SLOVAK REP,0.01,0.01,0.05,0.01,0.01,0.0,0.01,0.01,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,
SINGAPORE,1.35,2.26,3.18,5.39,4.68,3.97,3.03,3.97,3.7,3.45,3.38,3.05,2.0,1.83,2.37,1.17,1.73,0.49,0.47,0.76,0.61,0.63,0.32,0.2,0.24,0.43
SLOVENIA,0.01,0.06,0.04,0.05,0.05,0.05,0.11,0.02,0.02,0.0,0.16,0.0,0.01,,0.01,0.0,,,0.0,0.0,,,0.0,,,0.0
SOLOMON IS,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
RUSSIA,0.31,0.5,0.86,1.05,0.74,1.89,3.55,2.18,3.91,3.78,0.74,0.71,1.14,0.65,0.97,0.26,0.45,0.07,0.41,0.14,0.04,0.01,0.02,0.21,0.03,0.1
SOMALIA,0.7,1.23,1.0,0.75,1.07,0.71,0.46,0.08,0.06,0.07,0.04,0.01,0.01,0.01,0.07,0.02,0.0,0.0,0.02,0.03,,,0.01,,,
SPAIN,0.15,0.25,0.11,0.18,0.24,0.75,0.12,0.56,1.01,0.89,0.39,1.02,1.18,0.76,0.01,0.8,0.46,0.53,0.0,0.12,0.0,0.07,0.03,0.03,0.07,0.06
SRI LANKA DSR,0.64,3.45,2.95,3.5,3.15,4.51,8.83,5.18,3.12,2.75,2.6,2.65,3.54,3.0,1.83,1.83,1.96,2.2,2.13,1.28,0.36,0.36,0.45,0.24,0.49,0.21
ST KITT N A,,0.0,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,
ST LUCIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
SUDAN,2.14,0.99,1.3,2.14,1.38,1.57,1.6,1.55,1.83,1.39,1.51,1.92,2.11,1.35,1.13,0.59,0.43,0.31,0.56,0.14,,0.08,0.02,0.01,0.02,0.01
SOUTH SUDAN,0.0,,0.0,,0.01,0.01,,,,,,,,,,,,,,,,,,,,
SURINAME,0.02,0.03,0.03,0.08,0.06,0.04,0.12,0.05,0.04,0.04,0.18,0.14,0.11,0.04,0.02,0.07,0.06,0.03,0.02,0.02,,0.01,0.01,,,
SWAZILAND,,0.17,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
SWEDEN,0.02,0.09,0.08,0.13,0.06,0.08,0.05,0.05,0.05,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.02,,,,0.02,0.2,0.03,0.02,
SWITZERLAND,0.02,0.08,0.12,0.09,0.09,0.14,0.05,0.03,0.04,0.05,0.03,0.03,0.06,0.01,0.03,0.01,0.01,0.02,0.04,0.09,0.0,0.0,0.01,0.0,0.01,0.0
SOUTH AFRICA,0.67,1.4,1.13,1.42,1.89,1.35,1.47,1.43,1.19,1.37,2.68,2.45,1.66,2.29,0.4,0.75,0.71,0.41,0.34,0.21,0.11,0.22,0.11,0.09,0.16,0.06
ROMANIA,0.05,0.08,0.09,0.08,0.07,0.13,0.08,0.1,0.15,0.05,0.04,0.02,0.03,0.01,0.01,0.02,0.03,0.01,0.0,0.0,0.06,0.04,,0.28,0.0,0.01
REUNION,0.02,0.01,0.02,0.02,0.01,0.08,0.01,0.02,0.04,0.06,0.04,0.04,0.05,0.03,0.05,0.02,0.04,0.04,0.02,0.02,0.02,0.04,0.01,0.02,0.04,0.02
QATAR,3.32,4.31,3.87,5.82,7.48,4.42,1.24,1.01,0.72,0.49,0.3,0.28,0.28,0.47,0.64,0.4,0.52,0.58,0.29,0.15,0.07,0.03,0.03,0.09,0.14,0.08
MONTSERRAT,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,
MOROCCO,0.9,1.26,1.08,1.04,0.8,0.39,0.5,0.35,0.43,0.04,0.14,0.2,0.75,1.48,0.31,0.12,0.17,0.21,0.02,0.1,0.14,0.08,0.2,0.02,,
MOZAMBIQUE,0.1,0.36,0.87,0.07,0.56,0.38,0.51,0.34,0.58,0.5,0.41,0.31,0.19,0.15,0.22,0.03,0.08,0.09,0.03,0.03,,,,,,
NEPAL,9.61,17.47,17.87,18.36,17.49,17.82,16.21,8.78,9.42,9.99,5.25,4.51,4.85,4.42,3.11,4.01,2.4,2.88,2.87,1.92,1.4,0.83,0.19,0.28,0.12,0.15
