countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.8,3.94,7.39,2.02,5.11,6.8,25.4,21.16,9.44,12.74,17.01,7.01,2.94,0.36,0.09,0.06,0.0,,,0.23,0.01,,,,0.19,0.03
SWITZERLAND,0.79,0.79,1.15,1.74,2.56,2.92,2.57,3.33,2.12,1.66,2.0,1.86,1.75,2.46,3.04,3.22,2.32,2.15,1.67,2.65,3.34,2.33,3.16,2.3,2.49,1.86
TANZANIA REP,0.22,0.36,0.16,0.03,0.84,0.31,1.42,1.28,0.02,0.05,0.24,0.22,0.07,0.14,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.37,0.11,0.05,0.02
THAILAND,0.14,0.15,0.37,0.21,0.28,0.17,0.18,0.13,0.11,0.06,0.07,0.04,0.03,0.05,0.02,0.03,0.0,0.0,0.01,0.0,0.01,0.02,0.29,0.0,0.01,0.02
TOGO,0.1,1.98,1.0,0.18,0.03,0.75,0.55,0.9,0.34,0.04,,,0.0,0.02,0.0,0.13,0.18,0.14,0.01,,0.0,0.0,0.06,0.05,,0.01
TRINIDAD,0.02,0.04,0.06,0.1,0.15,0.02,0.1,0.09,0.32,0.13,0.47,0.03,0.12,0.0,0.01,0.0,0.01,0.01,0.06,0.05,0.11,0.0,0.02,0.01,0.04,
TUNISIA,,0.05,0.02,0.02,0.01,0.03,0.08,0.02,0.08,,0.01,0.06,,,0.0,,,,,0.0,,,,0.01,,
TURKEY,2.16,1.67,0.35,0.7,0.81,0.86,0.73,0.51,0.43,0.61,0.45,0.44,1.37,1.09,2.58,0.79,0.44,0.05,0.15,0.44,0.06,,0.01,0.02,0.02,0.0
UGANDA,0.01,0.05,0.01,0.02,0.29,0.27,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.01,0.03,0.0,0.01,0.0,,0.02,,0.0,0.01,0.02,0.03,
U ARAB EMTS,21.08,48.9,45.87,56.55,58.8,103.11,184.34,134.69,70.0,67.98,42.94,31.54,32.37,12.83,17.47,8.72,8.31,7.29,12.88,12.6,8.67,6.31,10.9,5.62,3.88,2.46
U K,49.1,75.2,53.0,76.81,80.77,102.51,91.09,102.11,118.19,88.26,66.55,60.18,44.89,45.06,44.12,41.87,21.55,20.22,18.23,18.87,13.76,11.56,10.8,8.87,6.71,5.26
UKRAINE,,0.04,0.04,0.03,0.04,0.03,0.08,0.03,0.04,0.13,0.11,0.08,0.11,0.32,0.14,0.06,0.02,0.01,0.0,0.04,0.01,0.43,0.02,0.06,,
U S A,147.69,221.25,112.55,131.24,125.78,124.95,130.54,116.14,116.66,111.62,102.52,99.46,91.29,86.5,88.57,79.09,55.49,43.55,39.36,24.79,31.79,25.61,36.39,31.51,21.47,19.75
URUGUAY,0.4,0.24,0.15,0.16,0.34,0.24,0.19,0.3,0.11,0.09,0.18,0.09,0.09,0.26,0.13,0.07,0.06,,,,,0.0,,0.06,0.01,
UZBEKISTAN,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,1.68,0.03,0.03,0.02,0.0,0.0,,,,,0.0,,,0.02,,,,0.02
VIETNAM SOC REP,0.04,0.06,0.07,0.08,0.07,0.05,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,,,,,,,,,
WALLIS F IS,,,,,,,,,,,,,,,,,,,,,,,,,,
YEMEN REPUBLC,2.72,0.95,2.49,1.42,1.0,2.23,2.56,9.21,15.2,10.09,6.92,1.26,0.58,0.09,0.36,0.12,0.03,0.1,0.03,0.0,0.05,0.03,0.07,0.02,0.0,
CONGO D. REP.,0.01,0.01,0.01,,0.02,0.03,0.0,0.03,0.0,0.0,0.01,,,0.02,,,,,,,,,,,,
ZAMBIA,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.0,0.15,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.08,0.0,
ZIMBABWE,0.01,,,0.0,0.0,0.0,0.0,0.01,1.01,0.0,0.01,,,0.0,,,,,,,0.0,0.01,,0.01,,0.0
DOMINICA,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,
GABON,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMBIA,,,0.0,,,0.73,0.16,0.0,,,,0.01,,0.0,0.0,,,0.0,,,,,,,,
SWEDEN,3.2,6.42,5.37,6.85,8.99,9.17,8.56,8.96,11.16,11.74,10.43,8.7,6.77,6.97,7.81,6.63,4.52,3.52,2.27,2.8,1.82,1.29,1.86,1.38,2.1,1.51
SWAZILAND,,0.0,0.01,0.0,,0.0,0.01,0.02,0.04,0.01,0.01,0.02,0.02,0.04,0.01,0.01,0.02,0.03,0.03,0.09,0.0,0.01,,,,0.01
SURINAME,0.0,,,0.01,0.0,0.01,0.01,0.03,0.04,0.0,0.01,0.0,,0.0,0.01,0.01,0.01,0.0,0.02,,,,0.0,,,0.01
SOUTH SUDAN,0.0,,0.0,0.01,,0.0,,,,,,,,,,,,,,,,,,,,
PORTUGAL,0.43,0.79,0.38,0.5,0.44,0.32,0.54,0.39,0.48,0.54,0.53,0.91,0.93,1.15,1.07,0.92,0.33,0.35,0.04,0.09,0.03,0.07,0.07,0.03,0.03,0.02
PUERTO RICO,0.09,0.57,0.44,0.41,0.79,0.45,0.74,1.02,0.64,0.45,0.52,0.02,0.01,0.01,0.01,0.01,0.03,0.01,,,,,,,,
QATAR,0.9,1.3,0.82,0.87,0.87,0.66,0.3,0.33,0.14,0.19,0.27,0.15,0.24,0.31,0.07,0.09,0.07,0.04,0.01,0.05,0.07,0.04,0.02,0.02,0.02,0.09
REUNION,0.03,0.05,0.04,0.01,0.05,0.03,0.0,0.07,0.04,0.06,0.17,0.04,0.01,0.02,0.05,0.04,0.02,0.01,0.06,0.01,0.0,,0.0,,,
ROMANIA,0.13,0.16,0.08,0.08,0.18,0.19,0.16,0.15,0.09,0.08,0.18,0.09,0.06,0.1,0.15,0.09,0.01,0.0,0.24,0.0,0.19,0.08,0.0,0.01,,0.04
RUSSIA,0.43,3.11,2.75,3.35,4.24,4.67,4.47,2.96,3.29,3.86,1.87,2.82,1.66,0.51,0.46,0.67,2.17,0.35,4.49,6.55,15.75,20.51,25.84,7.28,2.69,2.72
RWANDA,0.03,0.33,0.01,0.01,,,,0.33,0.06,0.03,0.02,0.0,,,,,,,0.02,,,,,,,
SAUDI ARAB,8.97,16.9,15.3,16.45,13.54,12.28,15.01,11.6,8.13,7.45,7.12,8.09,8.38,8.75,5.71,6.86,7.42,8.58,3.92,2.95,2.27,3.56,3.52,2.4,1.45,1.05
SERBIA,0.03,0.04,0.04,0.13,0.05,0.07,0.05,0.09,0.04,0.01,,,,,,,,,,,,,,,,
SENEGAL,,0.01,,0.01,0.0,1.71,0.01,0.23,1.82,0.3,0.01,0.02,,,0.0,,,0.02,,0.01,,,,,,
SEYCHELLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.01,,0.0,,0.02,0.01,,,,,0.0,
GUADELOUPE,,,0.0,0.0,,0.03,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.01,,,,,0.01
MONTENEGRO,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
SLOVAK REP,0.15,0.75,0.86,0.77,1.17,0.65,1.07,1.44,1.39,0.36,0.59,0.91,0.14,0.03,0.11,0.33,0.03,0.04,0.01,0.09,0.07,0.03,0.04,0.01,0.01,0.0
