countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,0.07,0.24,0.1,0.07,0.06,0.11,0.07,0.04,0.05,0.04,0.01,0.01,,,,,,,,,,,,,,
SLOVENIA,,0.15,0.47,0.0,0.0,0.02,0.05,0.0,,,,,,,,,,,,,,,,,,
SOMALIA,,0.01,0.0,0.04,0.03,0.03,0.04,,,,,,0.0,,,,,,,,,,,,,
SOUTH AFRICA,1.56,3.93,2.9,2.39,3.81,3.63,3.38,1.97,0.99,0.24,0.55,0.54,0.41,0.57,0.15,,,,,,0.01,0.01,,,,
SPAIN,0.13,0.5,0.93,0.48,0.79,0.22,0.18,1.9,0.46,0.17,0.07,0.13,0.05,0.15,0.07,0.0,,,0.02,0.01,0.04,0.01,0.19,0.03,,
SRI LANKA DSR,0.78,3.19,3.0,1.53,2.01,1.85,1.24,0.97,2.07,1.19,0.75,0.3,0.22,0.25,0.72,0.67,0.39,0.21,0.25,0.45,0.13,0.5,0.0,,,
ST KITT N A,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ST VINCENT,,,,,,,,,,,,,,,,,,,,,,,,,,
SUDAN,,,,0.02,0.02,0.02,0.02,0.01,,,0.94,0.05,,,,,0.0,,0.0,,,,,,,
SINGAPORE,0.0,0.06,3.14,0.04,0.02,0.0,0.02,0.02,0.02,0.26,0.28,,0.0,,0.01,0.0,,0.0,,,0.17,,,,,
SURINAME,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
SWEDEN,0.3,0.31,0.45,0.39,0.06,0.0,0.09,0.06,0.01,0.02,0.0,0.01,0.01,0.0,0.02,,,0.0,0.0,,,,,,,
SWITZERLAND,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.01,0.01,0.01,0.04,0.02,0.01,0.0,,,,,,,,,
TANZANIA REP,0.03,0.04,0.04,0.1,0.02,0.08,0.02,0.04,0.07,0.0,0.02,0.0,0.01,0.01,,,,,0.03,,,,,,,
THAILAND,0.52,1.64,2.7,1.77,3.02,2.5,1.86,0.55,0.35,0.8,1.82,2.19,0.79,0.07,0.04,,0.02,,,,,,0.01,,,
TOGO,0.02,0.05,0.02,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
TRINIDAD,0.03,0.0,0.01,0.0,0.02,0.01,,,,,,,,,,,,,,,,,,,,
TUNISIA,0.03,0.04,0.05,0.04,,,,,,,,,1.08,0.97,,,,,0.01,0.0,,,,,,
TURKEY,0.08,1.4,4.37,1.0,1.09,0.1,1.43,2.1,3.64,3.47,0.83,0.35,3.03,5.02,3.7,1.28,0.03,,,,0.05,,,,,
SWAZILAND,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
