countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
AFGHANISTAN,,0.06,0.04,0.05,0.03,0.01,0.03,1.07,0.12,0.1,0.02,0.09,0.02,0.07,1.72,0.02,0.19,0.72,0.12,0.22,0.04,,,,,0.0
RWANDA,0.08,0.04,0.12,0.1,0.03,0.18,0.05,0.04,0.08,0.01,0.15,0.08,0.06,0.05,0.09,0.04,,,,0.03,,,,0.0,0.0,
SAO TOME,,0.0,,,,,0.0,,0.0,,,,0.01,,,,0.01,0.03,,,,,,,,
SAUDI ARAB,8.83,15.89,11.92,8.04,4.61,4.94,2.93,5.25,2.82,5.85,2.95,1.87,1.37,1.23,3.0,1.94,1.74,1.08,1.54,1.52,0.62,0.23,0.26,0.21,0.13,0.02
SERBIA,,0.04,0.02,0.04,,0.02,0.03,0.01,0.03,0.03,,,,,,,,,,,,,,,,
SENEGAL,0.74,0.9,0.38,0.29,0.37,0.08,0.12,0.1,0.02,0.07,0.05,0.18,0.06,0.07,0.0,0.05,0.07,0.02,0.03,0.01,0.19,,,,0.06,
SEYCHELLES,0.23,0.24,0.16,0.42,0.11,0.18,0.12,0.1,0.12,0.12,0.08,0.04,0.07,0.07,0.03,0.06,0.01,0.03,0.0,0.04,0.01,0.02,0.04,,0.05,0.03
MONTENEGRO,,,,0.01,,,,,0.01,0.01,,,,,,,,,,,,,,,,
SIERRA LEONE,0.09,0.15,0.09,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.07,0.05,0.06,0.03,0.04,0.18,0.1,0.02,0.04,0.01,0.01,0.06,0.0,,,
SLOVAK REP,,0.0,0.03,0.02,0.04,0.05,0.06,0.04,0.05,0.0,0.2,0.07,0.06,0.13,0.03,0.22,0.1,0.05,0.08,0.04,,,,,,
SINGAPORE,1.55,1.63,1.34,2.19,4.18,3.01,3.88,2.2,3.52,2.82,1.95,2.13,1.67,1.24,2.41,1.89,1.0,0.9,0.48,0.1,0.11,0.13,0.39,0.32,0.32,0.47
SLOVENIA,0.22,0.89,0.38,0.46,0.43,0.41,0.2,0.23,0.25,0.07,0.11,0.28,0.06,0.04,0.1,0.14,0.01,0.15,0.02,0.02,,0.01,,,,
SOMALIA,0.15,0.23,0.19,0.13,0.1,0.06,0.01,0.04,0.01,0.0,0.0,,,,0.01,,0.01,,,,,,,,,
SOUTH AFRICA,2.67,2.95,2.04,2.66,3.33,2.96,2.55,4.25,4.75,5.58,4.4,5.25,4.83,2.75,2.93,3.77,2.76,2.71,2.19,0.77,0.62,0.35,0.3,0.08,0.15,0.09
SPAIN,18.68,28.15,19.13,16.63,11.5,8.26,4.94,5.19,4.74,4.53,3.72,5.82,8.36,5.85,9.94,17.66,17.88,13.76,12.81,5.35,1.98,1.35,0.74,0.31,0.13,0.1
SRI LANKA DSR,0.36,1.18,0.5,1.93,1.11,1.17,0.78,0.53,0.89,1.39,0.4,0.31,0.48,0.26,0.45,0.58,0.4,0.59,0.43,0.38,0.19,0.31,0.94,1.32,0.73,0.18
ST KITT N A,0.0,0.0,,0.0,0.0,0.0,,0.04,0.01,0.0,,0.0,,,0.03,0.0,0.0,0.0,0.0,,,,,,,
ST LUCIA,0.01,0.08,0.09,0.05,0.03,0.02,0.03,0.05,,0.0,,,0.02,0.01,0.01,0.0,0.0,,0.01,0.01,,,,,,
ST VINCENT,0.05,0.03,0.01,0.03,,0.01,,,0.02,,,,0.04,0.0,,,,,0.0,,,,,,,
SUDAN,0.09,0.21,0.05,0.03,0.01,0.16,0.31,0.12,0.08,0.34,0.12,0.42,0.04,0.36,0.53,0.41,0.11,0.11,0.13,0.01,0.01,0.05,0.02,0.0,,0.01
SOUTH SUDAN,,0.31,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,
SURINAME,0.04,0.08,0.08,0.29,0.2,0.19,0.05,0.18,0.33,0.16,0.32,0.27,0.21,0.34,0.23,0.17,0.21,0.03,0.02,0.03,0.0,,,0.0,,
SWAZILAND,0.0,0.03,,0.0,0.0,0.02,0.71,0.95,0.02,0.02,,0.04,0.12,0.02,0.0,0.03,,0.03,0.02,,,,,,,
SWEDEN,3.55,6.46,5.14,4.33,3.55,3.0,1.9,2.47,2.56,1.99,1.73,3.11,3.23,2.04,2.78,4.64,3.5,2.57,2.96,1.18,0.33,0.28,0.09,0.08,0.11,0.06
SWITZERLAND,0.17,1.04,0.96,1.06,0.62,0.82,0.69,0.77,0.86,0.72,0.94,0.79,1.43,0.69,0.6,1.1,0.58,0.53,0.71,0.36,0.15,0.18,0.16,0.05,0.07,0.11
TAJIKISTAN,,0.0,,,0.06,0.0,,0.01,,,,0.0,,,,0.01,,,,,,,,,,
RUSSIA,0.92,1.95,1.26,1.59,1.63,0.99,1.16,1.47,1.23,1.25,0.82,1.41,1.11,0.29,0.42,0.49,0.39,0.11,0.25,0.12,0.03,0.0,0.0,,0.03,0.01
TANZANIA REP,1.02,0.44,0.39,0.63,0.44,0.37,0.29,0.52,0.54,0.88,0.74,0.81,0.58,0.3,0.42,0.89,0.62,0.23,0.26,0.21,0.2,0.14,0.1,0.11,0.22,0.06
ROMANIA,0.59,1.27,0.21,0.29,0.32,0.36,0.23,0.05,0.13,0.22,0.13,0.09,0.12,0.24,0.27,0.29,0.31,0.17,0.07,0.0,,,,,0.0,0.01
QATAR,2.92,2.52,2.74,3.07,2.46,2.32,4.26,2.3,2.66,2.12,1.68,3.0,1.59,1.29,1.22,1.4,1.08,1.14,0.57,0.72,0.38,0.24,0.07,0.1,0.17,0.11
MONTSERRAT,,0.0,0.0,0.0,0.0,,,,,0.01,,,,0.01,,,,,,,,,,,,
MOROCCO,0.5,0.11,0.29,0.32,0.17,0.15,0.15,0.24,0.13,0.22,0.14,0.31,0.25,0.22,0.39,0.37,0.27,0.26,0.11,0.07,0.01,0.02,0.0,,,
MOZAMBIQUE,0.12,0.14,0.12,0.17,0.17,0.09,0.16,0.25,0.67,0.48,0.51,0.34,0.12,0.07,0.54,0.02,0.2,0.02,0.03,,,0.0,,0.0,0.0,0.0
NAMIBIA,0.22,0.17,0.1,0.04,0.19,0.13,0.09,0.17,0.32,0.13,0.18,0.31,0.01,0.03,0.03,0.0,0.03,0.05,0.05,,,0.01,0.01,,,
NEPAL,4.93,8.89,5.45,8.88,8.89,6.48,3.53,2.08,2.91,1.53,1.27,1.75,1.99,1.34,0.77,0.53,0.4,0.37,0.31,0.51,0.27,0.27,0.12,0.12,0.09,0.05
NETHERLAND,63.27,140.13,130.48,91.82,74.88,53.11,32.89,26.37,17.27,13.44,12.97,13.34,16.14,8.64,13.52,12.57,9.77,6.65,7.97,5.59,4.14,2.56,1.79,2.5,1.06,0.88
NETHERLANDANTIL,0.04,0.11,0.0,0.24,0.15,0.09,0.24,0.14,0.03,0.05,0.11,0.08,0.12,0.11,0.15,0.04,0.04,0.06,0.0,0.02,0.01,0.04,0.06,0.04,0.0,0.0
NEW CALEDONIA,0.03,0.03,0.03,0.02,0.05,0.04,0.05,0.02,0.02,0.09,0.05,0.09,0.06,0.09,0.04,0.14,0.04,0.07,0.03,0.02,0.01,0.02,0.01,0.01,,
NEW ZEALAND,1.4,3.38,2.93,4.26,3.76,2.65,2.65,1.86,2.06,1.91,1.38,1.56,1.47,0.67,0.67,0.62,0.69,0.53,0.36,0.21,0.08,0.04,0.05,0.1,0.07,0.01
NICARAGUA,1.51,1.52,1.31,2.37,1.98,2.3,1.69,0.9,0.16,0.03,0.07,0.07,0.05,0.24,0.07,,,0.01,,,,,,,,
NIGER,,0.01,0.0,0.0,,0.01,,0.0,0.0,0.0,0.07,0.0,,,,0.02,,,,,0.0,0.03,,,,
NIGERIA,0.8,0.76,0.58,0.82,1.53,1.08,0.37,1.25,0.54,0.45,0.43,0.99,0.37,0.38,1.05,0.4,0.04,0.05,0.13,0.08,0.0,0.02,0.0,,,0.01
N. MARIANA IS.,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,0.82,1.31,1.04,1.12,1.34,0.68,0.66,0.83,1.06,0.8,1.56,2.38,4.17,2.98,3.86,5.58,3.43,2.35,3.55,1.17,0.59,0.85,0.12,0.07,0.01,0.0
OMAN,0.77,1.15,1.21,3.49,3.59,3.5,1.81,1.99,3.02,2.46,1.69,0.78,0.79,1.2,1.01,1.06,0.74,0.36,0.52,0.32,0.26,0.24,0.21,0.23,0.44,0.45
PAKISTAN IR,0.0,,0.03,,0.0,0.03,0.02,0.09,0.04,0.01,,0.16,0.03,0.0,0.0,,0.07,2.99,0.03,0.0,0.01,,,,0.0,
PANAMA REPUBLIC,0.37,0.67,0.67,1.17,0.72,1.49,2.85,4.16,4.14,3.35,1.71,1.38,0.76,0.53,0.9,0.87,0.76,0.6,0.56,0.18,0.03,0.01,0.01,0.07,0.01,0.0
PAPUA N GNA,0.14,0.22,0.31,0.14,0.22,0.14,0.12,0.27,0.08,0.02,0.06,0.05,0.02,0.0,0.0,0.01,0.0,0.0,0.0,,,0.02,,0.01,,0.0
PARAGUAY,0.08,0.09,0.08,0.08,0.06,0.04,0.05,0.04,0.08,0.14,0.01,0.05,0.01,0.02,0.04,,0.01,,0.04,,,,,,,
PERU,0.17,0.2,0.11,0.13,0.2,0.18,0.22,0.1,0.09,0.07,0.04,0.04,0.02,0.04,0.02,0.02,0.04,,0.0,,,0.03,0.01,0.0,,
PHILIPPINES,0.36,0.45,0.65,0.76,0.54,0.69,0.57,0.61,0.29,0.2,0.41,0.39,0.92,0.29,0.19,0.2,0.1,0.57,0.04,0.11,0.0,0.0,0.03,0.0,,0.04
POLAND,5.88,9.33,8.44,5.68,5.03,4.5,6.16,5.25,6.15,4.79,8.09,7.25,7.22,4.99,5.48,5.77,2.68,1.41,0.58,0.2,0.08,0.05,0.04,,,0.0
PORTUGAL,1.59,1.83,1.11,1.5,1.54,1.14,0.73,0.64,0.67,0.43,0.41,1.04,1.69,1.07,1.1,1.05,1.0,0.9,1.31,0.8,0.31,0.22,0.15,0.12,0.04,0.03
TIMOR LESTE,,0.01,,,,,,,,,,0.0,,,,,,,,,,,,,,
PUERTO RICO,0.35,0.63,0.18,0.46,0.45,0.13,0.21,0.32,0.26,0.44,0.65,0.37,0.47,0.17,0.26,0.12,0.06,0.03,0.03,0.04,0.02,0.04,0.11,,,
REUNION,0.65,1.08,1.19,0.58,1.0,0.74,0.47,0.4,0.46,0.39,0.45,1.03,0.85,0.61,0.51,0.77,0.42,0.39,0.62,0.07,0.0,0.03,,,0.0,0.01
FALKLAND IS,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
THAILAND,0.77,0.49,0.79,1.53,1.4,0.71,0.71,0.81,0.79,1.61,0.81,0.69,0.7,0.24,0.31,0.27,0.21,0.21,0.29,0.26,0.07,0.05,0.14,0.04,0.01,0.01
TONGA,,0.0,,,,,0.02,,,,,,,,,,,0.0,,,,,,,,
MOLDOVA,,,,0.0,,,,,,,,,,0.01,,,,,,,,,,,,
WALLIS F IS,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
VATICAN CITY,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
SOLOMON IS,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,
SYRIA,,,,,0.0,,0.01,,,,,,0.07,0.05,0.16,0.05,0.0,0.08,,0.02,,,,,0.0,
GIBRALTAR,,,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,
VANUATU REP,,,,,,0.0,,,,,,,,,,,0.01,,,,,,,,,
ANGUILLA,,,,,,,,0.0,0.03,,,,,,,0.01,,,,,,,,,,
PANAMA C Z,,,,,,,,0.02,,,,,0.04,0.03,0.17,0.03,0.11,0.13,0.01,0.09,0.03,0.05,0.06,0.08,,
SAHARWI A.DM RP,,,,,,,,0.0,,,,,,,,,,0.01,,,,,,,,
